"Cmd.","Sub cmd.","Data","Description"
"1A","05,0104","0000 ~ 0255","Send/read the LCD Backlight setting (0000=0% to 0255=100%)"
"1A","05,0105","0000 ~ 0255","Send/read the Key Backlight setting (0000=0% to 0255=100%)"
"1A","05,0106","00/01","Send/read the Meter Peak Hold setting (00=OFF, 01=ON)"
"1A","05,0107","00/01","Send/read the PBT shifting value display setting (00=OFF, 01=ON)"
"1A","05,0108","00/01","Send/read the IF filter width and shifting value display setting (00=OFF, 01=ON)"
"1A","05,0109","00 to 02","Send/read the RX Call sign display setting (00=OFF, 01=AUTO, 02=Auto(RX Hold))"
"1A","05,0110","00/01","Send/read the RX message display setting (00=OFF, 01=ON)"
"1A","05,0111","00/01","Send/read the RX position display setting (00=OFF, 01=ON)"
"1A","05,0112","00 to 02","Send/read the TX Call sign display setting (00=OFF, 01=Your Call Sign, 02=My Call Sign)"
"1A","05,0113","00/01","Send/read the Scroll Speed setting (00=Slow, 01=Fast)"
"1A","05,0114","00/01","Send/read the VOICE TX Name Display setting (00=OFF, 01=ON)"
"1A","05,0115","00/01","Send/read the KEYER Memory Display setting (00=OFF, 01=ON)"
"1A","05,0116","00/01","Send/read the Opening Message (00=OFF, 01=ON)"
"1A","05,0117","00/01","Send/read the Power ON Check setting (00=OFF, 01=ON)"
"1A","05,0118","00/01","Send/read the Display Language (00=English, 01=Japanese)"
"1A","05,0119","00/01","Send/read the System Language (00=English, 01=Japanese)"
"1A","05,0120","20000101 ~ 20991231","Send/read the date setting (20000101=2000/01/01 to 20991231=2099/12/31)"
"1A","05,0121","0000 ~ 2359","Send/read the time setting (0000=0:00 to 2359=23:59)"
"1A","05,0122","00/01","Send/read the GPS time correction setting (00=OFF, 01=Auto)"
"1A","05,0123","see p. 20-13","Send/read the UTC offset setting"
"1A","05,0124","00/01","Send/read the clock display mode (00=LOCAL, 01=UTC)"
"1A","05,0125","00 to 04","Send/read the Auto Power OFF function setting (00=OFF, 01=30 min, 02=60 min, 03=90 min, 04=120 min)"
"1A","05,0126","00 to 10","Send/read the compression level (00=0 to 10=10)"
"1A","05,0127","00 to 14","Send/read the repeat interval to transmit the recorded voice audio (00=1 sec. to 14=15 sec.)"
"1A","05,0128","00/01","Send/read the TX voice audio monitor function setting (00=OFF, 01=ON)"
"1A","05,0129","00 to 04","Send/read the numbering system for contest numbers (00=Normal, 01=190→ANO, 02=190→ANT, 03=90→NO, 04=90→NT)"
"1A","05,0130","01 to 04","Send/read the count-up trigger channel (01=M1 to 04=M4)"
"1A","05,0131","0001 to 9999","Send/read the current contest serial number (0001=1 to 9999=9999)"
"1A","05,0132","0000 ~ 0255","Send/read the CW sidetone level (0000=0% to 0255=100%)"
"1A","05,0133","00/01","Send/read the CW sidetone level limit setting (00=OFF, 01=ON)"
"1A","05,0134","01 to 60","Send/read the CW keyer repeat time (01=1 sec. to 60=60 sec.)"
"1A","05,0135","28 to 45","Send/read the CW keyer dot/dash ratio (28=1:1:2.8 to 45=1:1:4.5)"
"1A","05,0136","00 to 03","Send/read the CW Rise time setting (00=2 msec, 01=4 msec, 02=6 msec, 03=8 msec)"
"1A","05,0137","00/01","Send/read the paddle polarity setting (00=Normal, 01=Reverse)"
"1A","05,0138","00 to 02","Send/read the keyer type setting (00=Straight, 01=BUG-Key, 02=ELEC-Key)"
"1A","05,0139","00/01","Send/read Mic. up/down keyer setting (00=OFF, 01=ON)"
"1A","05,0140","00/01","Send/read the Twin Peak Filter setting (00=OFF, 01=ON)"
"1A","05,0141","00 to 02","Send/read the RTTY mark frequency (00=1275 Hz, 01=1615 Hz, 02=2125 Hz)"
"1A","05,0142","00 to 02","Send/read the RTTY shift width (00=170 Hz, 01=200 Hz, 02=425 Hz)"
"1A","05,0143","00/01","Send/read the RTTY keying polarity (00=Normal, 01=Reverse)"
"1A","05,0144","00/01","Send/read the RTTY decode USOS setting (00=OFF, 01=ON)"
"1A","05,0145","00/01","Send/read the RTTY decode new line code setting (00=CR,LF,CR+LF, 01=CR+LF)"
"1A","05,0146","00/01","Send/read the RTTY TX USOS setting (00=OFF, 01=ON)"
"1A","05,0147","00/01","Send/read the RTTY Decode Log setting (00=OFF, 01=ON)"
"1A","05,0148","00/01","Send/read the RTTY Decode Log file type (00=Text, 01=HTML)"
"1A","05,0149","00/01","Send/read the RTTY Decode Log Time Stamp setting (00=OFF, 01=ON)"
"1A","05,0150","00/01","Send/read the RTTY Decode Log Time Stamp (Time) (00=Local, 01=UTC)"
"1A","05,0151","00/01","Send/read the RTTY Decode Log Time Stamp (Frequency) (00=OFF, 01=ON)"
"1A","05,0152","00 to 03","Send/read the DTMF Speed setting (00=100 msec, 01=200 msec, 02=300 msec, 03=500 msec)"
"1A","05,0153","00/01","Send/read the Scan speed setting (00=Slow, 01=Fast)"
"1A","05,0154","00/01","Send/read the Scan resume setting (00=OFF, 01=ON)"
"1A","05,0155","00 to 10","Send/read the Scan pause timer setting (00=2 sec. to 09=20 sec., 10=HOLD)"
"1A","05,0156","00 to 06","Send/read the Scan resume timer (00=0 sec. to 05=5 sec., 6=HOLD)"
"1A","05,0157","00/01","Send/read the Dial function during a scan (00=OFF, 01=Up/Down)"
"1A","05,0158","0000 ~ 0255","Send/read the NB level (0000=0% to 0255=100%)"
"1A","05,0159","00 to 09","Send/read the NB depth (00=1 to 09=10)"
"1A","05,0160","0000 ~ 0255","Send/read the NB width (0000=1 to 0255=100)"
"1A","05,0161","00 to 15","Send/read the NR level for other than the DR mode (00=0 to 15=15)"
"1A","05,0162","00 to 15","Send/read NR level for the DR mode (00=0 to 15=15)"
"1A","05,0163","0000 ~ 0255","Send/read the VOX gain (0000=0% to 0255=100%)"
"1A","05,0164","0000 ~ 0255","Send/read the ANTI-VOX gain (0000=0% to 0255=100%)"
"1A","05,0165","00 to 20","Send/read the VOX delay time (00=0.0 sec. to 20=2.0 sec.)"
"1A","05,0166","0020 ~ 0130","Send/read the BK-IN delay time (0020=2.0d to 0130=13.0d)"
"1A","05,0167","00/01","Send/read the recording mode (00=TX&RX, 01=RX Only)"
"1A","05,0168","00/01","Send/read the squelch status for the RX voice audio recording (00=Always, 01=Squelch Auto)"
"1A","05,0169","00/01","Send/read the QSO audio record file Split function setting (00=OFF, 01=ON)"
"1A","05,0170","00/01","Send/read the PTT Automatic Recording function setting (00=OFF, 01=ON)"
"1A","05,0171","00 to 03","Send/read the Skip Timer setting while playing back (00=3 sec, 01=5 sec, 02=10 sec, 03=30 sec)"
"1A","05,0172","00 to 02","Send/read the Standby Beep setting (00=OFF, 01=ON, 02=ON(to me:High Tone))"
"1A","05,0173","00 to 02","Send/read Auto Reply setting (00=OFF, 01=ON, 02=Voice)"
"1A","05,0174","00/01","Send/read the DV Data TX setting (00=PTT, 01=Auto)"
"1A","05,0175","00 to 02","Send/read the Digital Monitor setting (00=Auto, 01=Digital, 02=Analog)"
"1A","05,0176","00/01","Send/read the Digital Repeater setting function setting (00=OFF, 01=ON)"
"1A","05,0177","00/01","Send/read the RX Call Sign Auto Write setting (00=OFF, 01=Auto)"
"1A","05,0178","00/01","Send/read the RX RPT Call Sign Auto Write setting (00=OFF, 01=Auto)"
"1A","05,0179","00/01","Send/read the DV Auto Detect setting (00=OFF, 01=ON)"
"1A","05,0180","00/01","Send/read the RX Record (RPT) setting (00=ALL, 01=Latest Only)"
"1A","05,0181","00/01","Send/read the BK function setting (00=OFF, 01=ON)"
"1A","05,0182","00/01","Send/read the EMR mode setting (00=OFF, 01=ON)"
"1A","05,0183","0000 ~ 0255","Send/read EMR AF Level (0000=0% to 0255=100%)"
"1A","05,0184","00 to 02","Send/read the external GPS receiver setting (00=OFF, 01=External GPS, 02=Manual)"
"1A","05,0185","00/01","Send/read the GPS Receiver Baud setting (00=4800 bps, 01=9600 bps)"
"1A","05,0186","see p. 20-13","Send/read the manually programmed position"
"1A","05,0187","00/01","Send/read the GPS Indicator setting (00=OFF, 01=ON)"
"1A","05,0188","00/01","Send/read the Position Format setting (00=ddd°mm.mm', 01=ddd°mm'ss"")"
"1A","05,0189","00/01","Send/read the Distance and Altitude unit (00=meter, 01=feet/mile)"
"1A","05,0190","00 to 02","Send/read the GPS speed unit (00=km/h, 01=mph, 02=knots)"
"1A","05,0191","see p. 20-13","Send/read GPS alarm area (Group)"
"1A","05,0192","00 to 02","Send/read GPS alarm area (RX/Memory) (00=Limited, 01=Extended, 02=Both)"
"1A","05,0193","00 to 02","Send/read the GPS TX Mode setting (00=OFF, 01=GPS(DV-G), 02=GPS-A(DV-A))"
"1A","05,0194","00/01","Send/read the GPS (RMC) Sentence setting (00=OFF, 01=ON)"
"1A","05,0195","00/01","Send/read the GPS (GGA) Sentence setting (00=OFF, 01=ON)"
"1A","05,0196","00/01","Send/read the GPS (GLL) Sentence setting (00=OFF, 01=ON)"
