"Cmd.","Sub cmd.","Data","Description"
"1A","05,0016","See p. 20","Sets or reads the TBW (NAR) setting. (SSB-D)"
"1A","05,0017","See p. 20","Sets or reads the TBW setting. (AM)"
"1A","05,0018","00 ~ 10","Sets or reads the TX Tone (Bass) level. (AM) (00=–5 ~ 10=+5)"
"1A","05,0019","00 ~ 10","Sets or reads the TX Tone (Treble) level. (AM) (00=–5 ~ 10=+5)"
"1A","05,0020","00 ~ 10","Sets or reads the TX Tone (Bass) level. (FM) (00=–5 ~ 10=+5)"
"1A","05,0021","00 ~ 10","Sets or reads the TX Tone (Treble) level. (FM) (00=–5 ~ 10=+5)"
"1A","05,0022","00 00 ~ 02 55","Sets or reads the Beep Level. (00 00=Minimum ~ 02 55=Maximum)"
"1A","05,0023","00/01","Sets or reads the Beep Level Limit setting. (00=OFF, 01=ON)"
"1A","05,0024","00/01","Sets or reads the Beep (Confirmation) setting. (00=OFF, 01=ON)"
"1A","05,0025","00 ~ 03","Sets or reads the Band Edge Beep setting. (00=OFF, 01=ON (Default), 02=ON (User), 03=ON (User) & TX Limit)"
"1A","05,0026","00 ~ 02","Sets or reads the RF/SQL Control setting. (00=Auto, 01=SQL, 02=RF+SQL)"
"1A","05,0027","00/01","Sets or reads the Cancel CI-V Remote Set Levels setting. (00=All Volume Levels, 01=Operated Volume Level)"
"1A","05,0028","00/01","Sets or reads the MF Band ATT setting. (00=OFF, 01=ON)"
"1A","05,0029","00 ~ 05","Sets or reads the TX Delay setting. (HF) (00=OFF, 01=10 ms, 02=15 ms, 03=20 ms, 04=25 ms, 05=30 ms)"
"1A","05,0030","00 ~ 05","Sets or reads the TX Delay setting. (50M) (00=OFF, 01=10 ms, 02=15 ms, 03=20 ms, 04=25 ms, 05=30 ms)"
"1A","05,0031","00 ~ 05","Sets or reads the TX Delay setting. (70M) (00=OFF, 01=10 ms, 02=15 ms, 03=20 ms, 04=25 ms, 05=30 ms)"
"1A","05,0032","00 ~ 05","Sets or reads the Time-Out Timer (CI-V) setting. (00=OFF, 01=3 min, 02=5 min, 03=10 min, 04=20 min, 05=30 min) Valid only for transmission initiated by a CI-V command or by pushing TRANSMIT on the transceiver."
"1A","05,0033","00/01","Sets or reads the Quick SPLIT setting. (00=OFF, 01=ON)"
"1A","05,0034","See p. 20","Sets or reads the FM SPLIT Offset (HF) setting."
"1A","05,0035","See p. 20","Sets or reads the FM SPLIT Offset (50M) setting."
"1A","05,0036","00/01","Sets or reads the SPLIT LOCK setting. (00=OFF, 01=ON)"
"1A","05,0037","00/01","Sets or reads the [TUNER] Switch setting. (00=Manual, 01=Auto)"
