"Cmd.","Sub cmd.","Data","Description","Band"
"25","SEE","","p. 23. Send/read the Main or Sub band frequency",""
"26","SEE","","p. 23. Send/read the operating mode and filter settings (for both Main and Sub bands)",""
"27","00","00/01","Select/read ANT1 selection (00=RX ANT OFF, 01=RX ANT ON)",""
"27","00","See p. 24",". Read the Scope waveform data ( Only when “Scope ON/OFF status” (Command: 27 10) and “Scope wave data output” (Command: 27 11) are set to “ON,” outputs the waveform data to the controller.)",""
"27","01","","Speak the operating frequency and S meter level by voice synthesizer",""
"27","01","00/01","Select/read ANT2 selection (00=RX ANT OFF, 01=RX ANT ON)",""
"27","02","","Speak the operating mode by voice synthesizer LThe mode is announced after the ongoing speech.",""
"27","02","00/01","Select/read ANT3 selection (00=RX ANT OFF, 01=RX ANT ON)",""
"27","03","00/01","Select/read ANT4 selection (00=RX ANT OFF, 01=RX ANT ON)",""
"27","10","00/01","Send/read the Scope ON/OFF status (00=OFF, 01=ON)",""
"27","11","00/01","Send/read the Scope wave data output setting (00=OFF, 01=ON)",""
"27","12","00/01","Send/read the Main or Sub scope setting (00=Main, 01=Sub) SCOPE > DUAL",""
"27","13","00","Speak all data by the voice synthesizer (S meter level, frequency, and mode)",""
"27","13","00/01","Send/read the Single/Dual scope setting (00=Single, 01=Dual) SCOPE > CENT/FIX (Touch/Touch for 1 second)",""
"27","14","See p. 24",". Scope Center mode, Fixed mode, SCROLL-C mode, or SCROLL-F mode setting SCOPE > SPAN (Touch/Touch for 1 second)",""
"27","15","See p. 25",". Send/read the Span setting in the Center mode or SCROLL-C mode Scope SCOPE > EDGE",""
"27","16","See p. 25",". Send/read the Scope Edge Number setting in the Fixed mode or SCROLL-F mode SCOPE > HOLD",""
"27","17","See p. 25",". Send/read the Scope Hold function ON/OFF status SCOPE > REF",""
"27","19","See p. 25",". Send/read the Scope Reference level setting SCOPE > SPEED",""
"27","1A","See p. 25",". Send/read the Scope Sweep speed setting SCOPE SET: SCOPE > EXPD/SET (Touch for 1 second)",""
"27","1B","00/01","Send/read the Scope during Tx (CENTER TYPE) setting (00=OFF, 01=ON)",""
"27","1C","00 ~ 02","Send/read the CENTER Type Display setting ( 00=Filter Center, 01=Carrier Point Center, 02=Carrier Point Center (Abs. Freq.)) SCOPE > VBW",""
"27","1D","See p. 25",". Send/read the Scope VBW setting SCOPE > EXPD/SET (Touch for 1 second) > Fixed Edges",""
"27","1E","See p. 26",". Send/read the Scope Fixed Edge frequencies SCOPE > RBW",""
"27","1F","See p. 25",". Send/read the Scope RBW setting SCOPE SET: SCOPE > EXPD/SET (Touch for 1 second)",""
"27","20","00/01","Send/read Marker Position (FIX Type/SCROLL Type) setting (00=Filter Center, 01=Carrier Point)",""
"27","28","00","00 ~ 08 Transmit the Voice TX Memory (00=Stop, 01=T1 ~ 08=T8)",""
"27","29","00 or 01","+ Supported commands See p. 25. Regardless of active/inactive the Main or Sub band, you can directly specify the Main or Sub band, and send/read the supported command settings. (00=MAIN, 01=SUB)",""
"27","SCOPE","","> MAIN/SUB",""
"29","00 or 01","","Specify the Main or Sub band before entering the supported commands (00=MAIN, 01=SUB)",""
