"Cmd.","Sub cmd.","Data","Description","Band"
"1A","05,0216","see p. 12","SCOPE > Fixed Edges > 45.00 – 60.00 No.2",""
"1A","05,0217","see p. 12","SCOPE > Fixed Edges > 45.00 – 60.00 No.3",""
"1A","05,0218","00 or 01","AUDIO SCOPE SET > FFT Scope Waveform Type (00=Line, 01=Fill)",""
"1A","05,0219","see p. 12","AUDIO SCOPE SET > FFT Scope Waveform Color",""
"1A","05,0220","00 or 01","AUDIO SCOPE SET > FFT Scope Waterfall Display (00=OFF, 01=ON)",""
"1A","05,0221","see p. 12","AUDIO SCOPE SET > Oscilloscope Waveform Color",""
"1A","05,0222","00 ~ 04","KEYER 001 > Number Style ( 00=Normal, 01=190→ANO, 02=190→ANT, 03=90→NO, 04=90→NT)",""
"1A","05,0223","01 ~ 08","KEYER 001 > Count Up Trigger (01=M1 ~ 08=M8)",""
"1A","05,0224","00 01 ~ 99 99","KEYER 001 > Present Number (00 01=1 ~ 99 99=9999)",""
"1A","05,0225","00 00 ~ 02 55","CW-KEY SET > Side Tone Level (00 00=0% ~ 02 55=100%)",""
"1A","05,0226","00 or 01","CW-KEY SET > Side Tone Level Limit (00=OFF, 01=ON)",""
"1A","05,0227","01 ~ 60","CW-KEY SET > Keyer Repeat time (01=1 sec. ~ 60=60 sec.)",""
"1A","05,0228","28 ~ 45","CW-KEY SET > Dot/Dash Ratio (28=1:1:2.8 ~ 45=1:1:4.5; 0.1 steps)",""
"1A","05,0229","00 ~ 03","CW-KEY SET > Rise Time (00=2 msec., 01=4 msec., 02=6 msec., 03=8 msec.)",""
"1A","05,0230","00 or 01","CW-KEY SET > Paddle Polarity (00=Normal, 01=Reverse)",""
"1A","05,0231","00 ~ 02","CW-KEY SET > Key Type (00=Straight, 01=Bug, 02=Paddle)",""
"1A","05,0232","00 or 01","CW-KEY SET > MIC Up/Down Keyer (00=OFF, 01=ON)",""
"1A","05,0233","00 ~ 03","RTTY DECODE SET > FFT Scope Averaging (00=OFF, 01=2, 02=3, 03=4)",""
"1A","05,0234","see p. 12","RTTY DECODE SET > FFT Scope Waveform Color",""
"1A","05,0235","00 or 01","RTTY DECODE SET > Decode USOS (00=OFF, 01=ON)",""
"1A","05,0236","00 or 01","RTTY DECODE SET > Decode New Line Code (00=CR, LF, CR+LF, 01=CR+LF)",""
"1A","05,0237","00 ~ 02","RTTY DECODE SET > Diddle (00=OFF, 01=BLANK, 02=LTRS)",""
"1A","05,0238","00 or 01","RTTY DECODE SET > TX USOS (00=OFF, 01=ON)",""
"1A","05,0239","00 or 01","RTTY DECODE SET > Auto CR+LF by TX (00=OFF, 01=ON)",""
"1A","05,0240","00 or 01","RTTY DECODE SET > Time Stamp (00=OFF, 01=ON)",""
"1A","05,0241","00 or 01","RTTY DECODE SET > Time Stamp (Time) (00=Local, 01=“CLOCK2 UTC Offset” setting)",""
"1A","05,0242","00 or 01","RTTY DECODE SET > Time Stamp (Frequency) (00=OFF, 01=ON)",""
"1A","05,0243","see p. 12","RTTY DECODE SET > Font Color (Receive)",""
"1A","05,0244","see p. 12","RTTY DECODE SET > Font Color (Transmit)",""
"1A","05,0245","see p. 12","RTTY DECODE SET > Font Color (Time Stamp)",""
"1A","05,0246","see p. 12","RTTY DECODE SET > Font Color (TX Buffer)",""
"1A","05,0247","00 or 01","RTTY DECODE LOG > Decode Log (00=OFF, 01=ON)",""
"1A","05,0248","00 or 01","RTTY DECODE LOG > Log Set > File Type (00=Text, 01=HTML)",""
"1A","05,0249","00 ~ 03","PSK DECODE SET > FFT Scope Averaging (00=OFF, 01=2, 02=3, 03=4)",""
"1A","05,0250","see p. 12","PSK DECODE SET > FFT Scope Waveform Color",""
"1A","05,0251","00 or 01","PSK DECODE SET > AFC Range (00=±8 Hz, 01=±15 Hz)",""
"1A","05,0252","00 or 01","PSK DECODE SET > Time Stamp (00=OFF, 01=ON)",""
"1A","05,0253","00 or 01","PSK DECODE SET > Time Stamp (Time) (00=Local, 01=“CLOCK2 UTC Offset” setting)",""
"1A","05,0254","00 or 01","PSK DECODE SET > Time Stamp (Frequency) (00=OFF, 01=ON)",""
"1A","05,0255","02","55",""
"1A","05,0255","see p. 12","PSK DECODE SET > Font Color (Receive)",""
"1A","05,0256","see p. 12","PSK DECODE SET > Font Color (Transmit)",""
"1A","05,0257","see p. 12","PSK DECODE SET > Font Color (Time Stamp)",""
"1A","05,0258","see p. 12","PSK DECODE SET > Font Color (TX Buffer)",""
"1A","05,0259","00 or 01","PSK DECODE LOG > Decode Log (00=OFF, 01=ON)",""
"1A","05,0260","00 or 01","PSK DECODE LOG > Log Set > File Type (00=Text, 01=HTML)",""
"1A","05,0261","00 or 01","SCAN SET > SCAN Speed (00=SLow, 01=Fast)",""
"1A","05,0262","00 or 01","SCAN SET > SCAN Resume (00=OFF, 01=ON)",""
"1A","05,0263","00 00 ~ 02 55","VOICE TX > TX LEVEL (00 00=0%, 02 55=100%)",""
"1A","05,0264","00 or 01","VOICE TX SET > Auto Monitor (00=OFF, 01=ON)",""
"1A","05,0265","01 ~ 15","VOICE TX SET > Repeat Time (01=1 sec. ~ 15=15 sec.)",""
"1A","05,0266","00 or 01","Recorder Set > REC Mode (00=TX&RX, 01=RX Only)",""
"1A","05,0267","00 or 01","Recorder Set > TX REC Audio (00=Direct, 01=Monitor)",""
"1A","05,0268","00 or 01","Recorder Set > RX REC Condition (00=Always, 01=Squelch Auto)",""
"1A","05,0269","00 or 01","Recorder Set > File Split (00=OFF, 01=ON)",""
"1A","05,0270","00 or 01","Recorder Set > PTT Auto REC (00=OFF, 01=ON)",""
"1A","05,0271","00 ~ 03","Recorder Set > PRE-REC for PTT Auto REC (00=OFF, 01=5 sec., 02=10 sec., 03=15 sec.)",""
"1A","05,0272","00 ~ 03","Player Set > Skip Time (00=3 sec., 01=5 sec., 02=10 sec., 03=30 sec.)",""
"1A","05,0273","05 ~ 30","Instant Replay Set > REC Time (05=5 sec., ~ 30=30 sec.)",""
"1A","05,0274","03 ~ 10","Instant Replay Set > Play Time (03=3 sec., ~ 10=10 sec.)",""
"1A","05,0275","00 or 01","TYPE SET > RX-ANT Connectors (00=Connect an receive antenna, 01=Connect an external device)",""
"1A","05,0276","see p. 13","ANTENNA MEMORY(0.03 MHz ~ 1.60 MHz)",""
"1A","05,0277","see p. 13","ANTENNA MEMORY (1.60 MHz ~ 2.00 MHz)",""
"1A","05,0278","see p. 13","ANTENNA MEMORY (2.00 MHz ~ 6.00 MHz)",""
"1A","05,0279","see p. 13","ANTENNA MEMORY (6.00 MHz ~ 8.00 MHz)",""
"1A","05,0280","see p. 13","ANTENNA MEMORY (8.00 MHz ~ 11.00 MHz)",""
"1A","05,0281","see p. 13","ANTENNA MEMORY (11.00 MHz ~ 15.00 MHz)",""
"1A","05,0282","see p. 13","ANTENNA MEMORY (15.00 MHz ~ 20.00 MHz)",""
"1A","05,0283","see p. 13","ANTENNA MEMORY (20.00 MHz ~ 22.00 MHz)",""
"1A","05,0284","see p. 13","ANTENNA MEMORY (22.00 MHz ~ 26.00 MHz)",""
"1A","05,0285","see p. 13","ANTENNA MEMORY (26.00 MHz ~ 30.00 MHz)",""
"1A","05,0286","00 to 1850","GPS > GPS TX Mode > D-PRS > TX Format > Object > Speed (0 km/h to 1850 km/h)",""
"1A","05,0287","see p. 13","ANTENNA MEMORY (45.00 MHz ~ 60.00 MHz)",""
"1A","05,0288","00 or 01","Temporary memory (TEMP-M) function (00=OFF, 01=ON)",""
"1A","05,0289","00 ~ 02","Send the Antenna selection mode ([ANT] SW) (00=OFF, 01=Manual, 02=Auto)",""
"1A","05,0290","00 ~ 09","NB depth (00=1 ~ 09=10)",""
"1A","05,0291","00 00 ~ 02 55","NB width (00 00=1 ~ 02 55=100)",""
"1A","05,0292","00 ~ 20","VOX delay (00=0.0 sec. ~ 20=2.0 sec.; 0.1 sec steps)",""
"1A","05,0293","00 ~ 03","VOX voice delay (00=OFF, 01=Short, 02=Mid, 03=Long)",""
"1A","05,0294","00 or 01","APF > TYPE (00=SHARP, 01=SOFT)",""
"1A","05,0295","00 ~ 06","APF > AF LEVEL (00=0 dB ~ 06=6 dB)",""
"1A","05,0296","see p. 12","Tone Control/TBW > TX > SSB-D TX passband width",""
"1A","05,0297","00 or 01","Connectors > USB SEND/Keying Inhibit Timer at USB connection (00=OFF, 01=ON)",""
"1A","05,0298","see p. 12","SCOPE > Fixed Edges > 0.03 – 1.60 No.4",""
